Name,Short,,Code,United States Virgin Islands,St. Croix Island,Anna's Hope Village subdistrict,Christiansted subdistrict,East End subdistrict,Frederiksted subdistrict,Northcentral subdistrict,Northwest subdistrict,Sion Farm subdistrict,Southcentral subdistrict,Southwest subdistrict,St. John Island,Central subdistrict,Coral Bay subdistrict,Cruz Bay subdistrict,East End subdistrict,St. Thomas Island,Charlotte Amalie subdistrict,East End subdistrict,Northside subdistrict,Southside subdistrict,Tutu subdistrict,Water Island subdistrict,West End subdistrict,Estate Adventure,Estate Allandale,Estate All for the Better,Estate Altona,Estate Anguilla,Estate Annaberg and Shannon Grove,Estate Annaly,Estate Annas Hope,Estate A Piece of Land,Estate Barren Spot 1,Estate Barren Spot 2,Estate Becks Grove,Estate Beeston Hill,Estate Bellevue,Estate Belvedere,Estate Bethlehem Middle Works,Estate Bethlehem Old Works,Estate Betsys Jewel,Estate Bettys Hope,Estate Blessing,Estate Bodkin,Estate Body Slob North,Estate Body Slob South,Estate Boetzberg,Estate Bonne Esperance 1,Estate Bonne Esperance 2,Estate Brooks Hill,Estate Bugby Hole,Estate Cain Carlton,Estate Caledonia,Estate Canaan,Estate Cane,Estate Cane Bay,Estate Cane Garden,Estate Cane Valley,Estate Carina,Estate Carlton 1 North,Estate Carlton 1 South,Estate Carlton 2,Estate Cassava Garden,Estate Castle Coakley,Estate Castle Nugent,Estate Catherines Hope,Estate Catherines Rest,Estate Clairmont,Estate Clifton Hill,Estate Coakley Bay,Estate Colquohoun,Estate Concordia East,Estate Concordia West,Estate Constitution Hill,Estate Contentment,Estate Corn Hill,Estate Cottage,Estate Cotton Garden,Estate Cotton Grove,Estate Cotton Valley,Estate Diamond East,Estate Diamond Keturah,Estate Diamond West,Estate East Street,Estate Elizas Retreat,Estate Enfield Green,Estate Envy,Estate Fangselet,Estate Fareham,Estate Fountain,Estate Frederikshaab,Estate Friedensthal,Estate Glynn,Estate Golden Grove,Estate Golden Rock,Estate Granard,Estate Grange,Estate Grange Stock,Estate Great Pond,Estate Green Cay,Estate Grove Place,Estate Gumbs Land,Estate Hams Bay,Estate Hams Bluff,Estate Hannahs Rest,Estate Hard Labor,Estate Hartman,Estate Hermitage,Estate Hermon Hill,Estate Hogensborg,Estate Hope and Carton Hill,Estate Hope East,Estate Hope West,Estate Jacks Bay,Estate Jerusalem and Figtree Hill,Estate Jolly Hill,Estate Judiths Fancy,Estate Kingshill,Estate Kramers Park,Estate La Grande Princess,Estate La Grange,Estate La Press Valley,Estate La Reine,Estate La Vallee,Estate Lebanon Hill,Estate Little Fountain,Estate Little La Grange,Estate Little Princess North,Estate Little Princess South,Estate Little Profit,Estate Longford,Estate Long Point,Estate Lower Love,Estate Lowry Hill,Estate Madam Carty,Estate Mannings Bay,Estate Marienhoj,Estate Marys Fancy,Estate Mon Bijou North,Estate Mon Bijou South,Estate Montpellier East,Estate Montpellier West,Estate Morning Star North,Estate Morning Star South,Estate Mountain,Estate Mount Eagle,Estate Mount Fancy,Estate Mount Pleasant East 1,Estate Mount Pleasant East 2,Estate Mount Pleasant West,Estate Mount Retreat,Estate Mount Stewart,Estate Mount Victory,Estate Mount Washington and Washington Hill,Estate Mount Welcome,Estate Nicholas,Estate North Grapetree Bay,Estate North Hall,Estate Northside,Estate North Slob,Estate North Star,Estate Orange Grove East,Estate Orange Grove West,Estate Oxford,Estate Paradise,Estate Parasol,Estate Pearl,Estate Peters Farm,Estate Peters Rest,Estate Petronella,Estate Pleasant Valley East,Estate Pleasant Valley West,Estate Plessen 1,Estate Plessen 2,Estate Profit,Estate Prospect Hill,Estate Prosperity East,Estate Prosperity West,Estate Punch,Estate Rattan,Estate Recovery Hill,Estate Retreat,Estate Richmond,Estate River,Estate Roberts Hill,Estate Rose Hill,Estate Ruby,Estate Rust Up Twist,Estate St. George,Estate St. Georges Hill,Estate St. John,Estate St. Peters,Estate Sallys Fancy,Estate Salt River,Estate Seven Hills,Estate Shoys,Estate Sight,Estate Sion Farm,Estate Sion Hill,Estate Solitude East,Estate Solitude West,Estate Southgate,Estate South Grapetree Bay,Estate South Slob,Estate Sprat Hall,Estate Springfield,Estate Spring Garden,Estate Spring Gut,Estate Stony Ground,Estate Strawberry Hill,Estate Sweet Bottom,Estate Teague Bay,Estate The Springs,Estate Thomas,Estate Tipperary,Estate Turner Hole,Estate Two Brothers,Estate Two Friends,Estate Union and Mount Washington,Estate Upper Bethlehem,Estate Upper Love,Estate Waldberggaard,Estate Wheel of Fortune,Estate Whim,Estate White Lady,Estate Whites Bay 1,Estate Whites Bay 2,Estate William,Estate Williams Delight,Estate Wills Bay,Estate Windsor,Estate Wood Cottage,Estate Work and Rest,Estate Yellow Cliff,Estate Adrian,Estate Annaberg,Estate Bellevue,Estate Bethany,Estate Beverhoutberg and Esperance,Estate Bordeaux,Estate Browns Bay,Estate Calabash Boom,Estate Caneel Bay,Estate Carolina,Estate Chocolate Hole and Great Cruz Bay,Estate Concordia A,Estate Concordia B,Estate Contant,Estate Denis Bay,Estate Emmaus,Estate Enighed,Estate Fish Bay,Estate Fortberg,Estate Glucksberg and Grunwald,Estate Great Cinnamon Bay,Estate Hammer Farm,Estate Hansen Bay,Estate Haulover,Estate Hawksnest,Estate Hermitage,Estate Hope,Estate Johns Folly,Estate Lameshur,Estate Leinster Bay,Estate Little Plantation,Estate Lovango Cay,Estate Maho Bay,Estate Mandal,Estate Molendal and Little Reef Bay,Estate Mount Pleasant and Retreat,Estate New Renobath,Estate Number 1 of Susannaberg,Estate Number 1 of Trunk Bay,Estate Parcel of Concordia,Estate Parcel of Gift and Regenback,Estate Pastory,Estate Peter Bay,Estate Reef Bay,Estate Rendezvous and Ditlef,Estate Rustenberg and Adventure,Estate St. Quaco and Zimmerman,Estate San Soucci,Estate Sieben,Estate Susannaberg,Estate Zootenvaal,Estate Adelphi,Estate Agnes Fancy,Estate Annas Fancy,Estate Annas Retreat,Estate Bakkero,Estate Bolongo,Estate Bonne Esperance,Estate Bonne Resolution,Estate Bordeaux,Estate Bovoni,Estate Canaan and Sherpenjewel,Estate Caret Bay,Estate Charlotte Amalie,Estate Contant,Estate Crown and Hawk,Estate Demarara,Estate Donoe,Estate Dorothea,Estate Eastern Water Island,Estate Elizabeth,Estate Fortuna,Estate Fortuna Hill,Estate Frenchman Bay,Estate Frydendal,Estate Frydenhoj,Estate Great St. James Island,Estate Hassel Island,Estate Herleins Kob,Estate Hoffman,Estate Honduras,Estate Hope,Estate Hospital Ground,Estate Hull,Estate Inner Brass Island,Estate John Brewers Bay,Estate Kings Quarter,Estate Langmath Mariendal,Estate Lerkenlund,Estate Lilliendal and Marienhoj,Estate Lindbergh Bay,Estate Little St. James Island,Estate Little St. Thomas,Estate Lovenlund,Estate Lower John Dunko,Estate Mafolie,Estate Magens Bay,Estate Mandal,Estate Misgunst,Estate Nadir,Estate Nazareth,Estate Neltjeberg,Estate New Herrnhut,Estate Nisky,Estate Outer Brass Island,Estate Pearl,Estate Perseverance,Estate Peterborg,Estate Queens Quarter,Estate Raphune,Estate Ross,Estate St. Joseph and Rosendal,Estate St. Peter,Estate Santa Maria,Estate Smith Bay,Estate Solberg,Estate Sorgenfri,Estate Staabi,Estate Tabor and Harmony,Estate Thomas,Estate Upper John Dunko,Estate Western Water Island,Estate Wintberg,Estate Zufriedenheit,Charlotte Amalie town,Charlotte Amalie East CDP,Charlotte Amalie West CDP,Christiansted town,Coral Bay CDP,Cruz Bay CDP,Frederiksted town,Frederiksted Southeast CDP,Red Hook CDP,Tutu CDP
Total,Total,,DPVI0100001,106405,50601,4041,2626,2453,3091,4977,4863,13003,8049,7498,4170,779,634,2706,51,51634,18481,8403,10049,5411,6867,182,2241,214,0,165,127,0,0,9,616,0,1,1371,5,224,19,58,90,1261,18,0,111,0,0,0,436,3,42,28,53,29,0,31,203,33,73,12,0,116,49,321,0,404,0,62,580,64,929,86,573,143,546,244,20,9,135,0,0,303,544,4,214,1397,9,471,0,183,0,114,90,164,753,472,1875,14,42,31,8,130,797,7,11,0,839,0,0,27,699,18,60,111,32,0,56,8,469,80,0,2024,632,0,391,217,22,31,69,13,272,0,16,0,3,50,0,0,24,444,3,955,171,53,19,228,35,0,0,68,11,1304,0,0,15,12,236,7,18,8,34,17,0,356,18,5,287,0,50,37,745,0,21,4,14,296,1035,0,10,99,0,442,0,388,820,58,0,0,460,49,1069,24,685,297,93,102,48,79,26,1374,569,93,0,108,22,29,63,0,10,17,271,1528,0,113,0,20,194,17,1990,3,407,166,1315,9,461,3315,118,235,0,5,2202,0,29,0,1327,3,234,47,184,166,28,2,0,137,91,394,172,22,0,283,5,79,841,147,11,359,3,13,51,0,2,0,6,45,2,0,70,4,1,39,0,0,4,0,2,0,66,431,11,0,70,0,88,16,0,37,7,3,270,373,7479,462,688,269,372,275,2604,65,442,218,3584,67,3040,173,479,18,167,981,69,1124,974,1157,9,17,0,0,850,124,193,500,0,10,4318,996,793,305,1997,0,27,1147,445,148,0,583,93,1085,1269,47,52,104,0,252,12,234,940,125,98,864,283,191,2531,1193,152,0,206,2631,272,147,1019,19,10354,2491,5644,2433,605,2866,859,2168,350,7356
Hispanic or Latino (of any race),Hispanic,,DPVI0100002,18504,12280,851,897,370,740,1220,881,3224,2311,1786,437,41,32,364,0,5787,3186,622,774,551,483,8,163,41,0,25,24,0,0,1,180,0,0,227,0,56,11,4,43,394,2,0,20,0,0,0,93,0,8,8,6,10,0,8,19,3,16,6,0,12,10,117,0,120,0,8,122,8,351,10,194,16,142,93,2,1,32,0,0,25,168,0,61,426,0,131,0,49,0,17,5,79,209,142,700,4,11,8,0,8,109,6,6,0,119,0,0,9,101,1,3,26,14,0,11,0,69,21,0,567,122,0,25,19,0,3,9,1,58,0,0,0,0,7,0,0,13,86,3,225,21,8,1,60,3,0,0,15,3,177,0,0,3,2,61,1,1,0,7,2,0,108,2,1,73,0,21,6,183,0,11,4,7,84,654,0,2,16,0,90,0,83,314,19,0,0,72,2,159,14,152,43,31,16,1,7,4,428,108,20,0,10,1,5,1,0,0,3,42,186,0,11,0,7,30,0,478,0,78,48,187,3,106,824,29,79,0,0,592,0,0,0,341,0,23,1,9,2,0,0,0,22,3,12,8,0,0,56,0,1,201,7,0,19,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,3,53,1,0,3,0,1,3,0,5,0,0,37,78,477,36,55,14,13,15,339,2,16,58,836,9,704,4,45,0,19,70,7,77,75,79,1,1,0,0,168,30,23,31,0,1,662,79,46,27,233,0,2,98,54,19,0,56,6,116,75,9,2,9,0,19,0,20,131,1,8,78,13,7,184,124,8,0,25,267,23,7,56,3,1841,250,1096,857,34,369,203,531,18,496
Puerto Rican,"Hispanic, Puerto Rican",,DPVI0100003,10981,9282,603,462,277,557,1010,707,2422,1796,1448,68,12,10,46,0,1631,607,150,359,216,195,3,101,40,0,19,13,0,0,0,150,0,0,165,0,48,11,1,30,285,2,0,8,0,0,0,67,0,5,8,4,7,0,8,15,3,12,6,0,10,10,96,0,58,0,8,91,8,295,3,174,15,111,71,1,1,11,0,0,19,106,0,47,194,0,98,0,32,0,8,1,43,185,119,492,4,5,8,0,4,93,5,6,0,86,0,0,7,81,0,3,18,13,0,7,0,53,20,0,425,104,0,15,18,0,3,7,1,34,0,0,0,0,6,0,0,9,70,3,196,15,6,1,40,2,0,0,9,2,144,0,0,0,1,44,1,0,0,7,2,0,52,2,1,63,0,15,4,108,0,8,4,4,73,561,0,1,11,0,80,0,58,190,17,0,0,61,1,113,12,130,32,26,12,0,6,3,335,81,14,0,4,0,5,0,0,0,0,25,148,0,10,0,7,24,0,359,0,60,47,154,3,73,662,24,72,0,0,508,0,0,0,227,0,1,1,2,1,0,0,0,6,3,9,0,0,0,11,0,1,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,1,0,0,0,0,0,2,16,195,20,28,10,6,12,115,1,11,9,154,5,82,3,33,0,9,34,7,29,6,29,0,0,0,0,35,20,13,19,0,0,148,20,20,10,83,0,0,46,15,7,0,18,5,35,23,3,0,6,0,12,0,7,26,1,0,40,8,6,37,31,7,0,15,62,15,3,19,0,321,51,236,440,12,49,139,412,5,203
Dominican,"Hispanic, Dominican",,DPVI0100004,5827,1948,145,392,26,118,140,103,517,311,196,306,23,17,266,0,3573,2357,421,231,291,237,0,36,1,0,1,1,0,0,0,12,0,0,60,0,2,0,0,6,95,0,0,4,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,48,0,0,15,0,36,6,12,0,24,19,0,0,1,0,0,0,31,0,3,207,0,20,0,11,0,3,4,34,12,16,171,0,0,0,0,0,9,0,0,0,27,0,0,0,15,1,0,4,1,0,1,0,3,0,0,87,12,0,4,0,0,0,2,0,8,0,0,0,0,0,0,0,4,10,0,20,4,2,0,12,1,0,0,0,0,22,0,0,0,0,10,0,0,0,0,0,0,42,0,0,4,0,0,2,67,0,3,0,0,6,22,0,0,2,0,6,0,15,121,0,0,0,6,0,31,0,8,2,0,0,0,1,1,70,20,0,0,0,0,0,0,0,0,3,15,27,0,0,0,0,1,0,73,0,7,0,15,0,21,99,4,4,0,0,34,0,0,0,76,0,22,0,7,0,0,0,0,16,0,0,8,0,0,38,0,0,159,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0,0,3,0,3,0,0,19,56,237,8,17,4,2,2,212,1,2,39,639,4,589,0,1,0,2,19,0,36,66,41,1,0,0,0,108,6,8,1,0,1,478,51,10,9,122,0,1,26,37,4,0,26,1,80,40,3,1,3,0,7,0,5,95,0,8,18,3,1,129,81,0,0,9,167,8,0,26,3,1401,163,793,387,17,266,56,62,11,248
Mexican,"Hispanic, Mexican",,DPVI0100005,242,114,3,10,17,2,6,12,27,30,7,24,0,3,21,0,104,32,14,41,5,4,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,2,5,0,1,6,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,10,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,1,1,0,0,1,0,3,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,4,3,2,0,2,0,0,0,1,0,12,0,6,0,6,0,0,7,0,0,1,2,0,0,0,0,1,1,0,6,0,0,6,0,3,0,4,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,2,3,0,0,8,2,0,7,1,0,0,0,2,0,0,4,0,17,2,13,8,3,21,2,0,2,4
Other Hispanic or Latino,"Hispanic, Other",,DPVI0100006,1454,936,100,33,50,63,64,59,258,174,135,39,6,2,31,0,479,190,37,143,39,47,5,18,0,0,5,9,0,0,1,18,0,0,2,0,6,0,3,7,14,0,0,1,0,0,0,12,0,3,0,2,2,0,0,1,0,4,0,0,2,0,9,0,11,0,0,16,0,16,1,8,1,7,3,1,0,13,0,0,4,26,0,10,19,0,12,0,6,0,5,0,0,12,7,37,0,6,0,0,4,6,1,0,0,5,0,0,2,5,0,0,3,0,0,2,0,11,1,0,45,5,0,6,1,0,0,0,0,14,0,0,0,0,0,0,0,0,6,0,4,1,0,0,8,0,0,0,2,1,11,0,0,0,1,7,0,1,0,0,0,0,12,0,0,6,0,1,0,8,0,0,0,3,5,70,0,1,3,0,2,0,10,3,2,0,0,4,1,9,2,14,9,5,3,0,0,0,22,7,3,0,5,1,0,1,0,0,0,0,9,0,1,0,0,5,0,44,0,6,1,18,0,12,61,1,3,0,0,50,0,0,0,38,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,11,7,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,1,0,0,0,0,2,0,0,15,6,41,5,8,0,3,1,12,0,2,10,31,0,27,1,5,0,8,10,0,12,2,7,0,1,0,0,24,3,2,5,0,0,30,8,13,8,24,0,1,23,2,8,0,12,0,1,8,3,1,0,0,0,0,6,7,0,0,12,0,0,11,11,1,0,1,36,0,4,7,0,102,34,54,22,2,33,6,57,0,41
Not Hispanic or Latino,Not Hispanic,,DPVI0100007,87901,38321,3190,1729,2083,2351,3757,3982,9779,5738,5712,3733,738,602,2342,51,45847,15295,7781,9275,4860,6384,174,2078,173,0,140,103,0,0,8,436,0,1,1144,5,168,8,54,47,867,16,0,91,0,0,0,343,3,34,20,47,19,0,23,184,30,57,6,0,104,39,204,0,284,0,54,458,56,578,76,379,127,404,151,18,8,103,0,0,278,376,4,153,971,9,340,0,134,0,97,85,85,544,330,1175,10,31,23,8,122,688,1,5,0,720,0,0,18,598,17,57,85,18,0,45,8,400,59,0,1457,510,0,366,198,22,28,60,12,214,0,16,0,3,43,0,0,11,358,0,730,150,45,18,168,32,0,0,53,8,1127,0,0,12,10,175,6,17,8,27,15,0,248,16,4,214,0,29,31,562,0,10,0,7,212,381,0,8,83,0,352,0,305,506,39,0,0,388,47,910,10,533,254,62,86,47,72,22,946,461,73,0,98,21,24,62,0,10,14,229,1342,0,102,0,13,164,17,1512,3,329,118,1128,6,355,2491,89,156,0,5,1610,0,29,0,986,3,211,46,175,164,28,2,0,115,88,382,164,22,0,227,5,78,640,140,11,340,3,13,51,0,2,0,6,44,2,0,68,4,1,39,0,0,3,0,2,0,63,378,10,0,67,0,87,13,0,32,7,3,233,295,7002,426,633,255,359,260,2265,63,426,160,2748,58,2336,169,434,18,148,911,62,1047,899,1078,8,16,0,0,682,94,170,469,0,9,3656,917,747,278,1764,0,25,1049,391,129,0,527,87,969,1194,38,50,95,0,233,12,214,809,124,90,786,270,184,2347,1069,144,0,181,2364,249,140,963,16,8513,2241,4548,1576,571,2497,656,1637,332,6860
Black or African American alone,"Not Hispanic, Black",,DPVI0100008,70379,31181,2512,1393,903,2085,3184,3204,7751,5048,5101,2076,323,272,1464,17,37122,13790,6368,5237,3818,6118,8,1783,169,0,97,35,0,0,0,377,0,1,1026,4,83,4,17,47,834,3,0,29,0,0,0,191,1,29,8,24,4,0,7,139,10,27,6,0,73,36,140,0,219,0,7,382,19,528,14,348,64,372,117,11,0,31,0,0,76,265,0,138,779,5,303,0,115,0,15,75,83,508,311,1068,4,27,12,0,16,597,0,0,0,619,0,0,10,418,15,17,34,13,0,18,3,125,59,0,1071,409,0,323,122,18,16,20,4,162,0,0,0,2,33,0,0,1,273,0,686,87,31,7,135,32,0,0,35,3,1089,0,0,7,3,114,4,7,2,5,0,0,177,12,2,212,0,28,16,513,0,7,0,7,205,330,0,2,37,0,289,0,283,461,12,0,0,251,16,845,7,371,191,55,29,5,19,2,876,378,36,0,36,6,3,13,0,2,11,221,1252,0,19,0,10,119,4,1319,2,224,111,1048,6,316,2198,89,139,0,1,1516,0,16,0,861,0,170,1,153,85,25,2,0,76,50,100,78,0,0,182,0,32,401,16,3,220,1,0,17,0,0,0,0,32,0,0,22,1,0,27,0,0,0,0,0,0,31,254,0,0,19,0,52,1,0,25,0,3,148,288,6709,171,446,196,200,245,2193,33,247,138,2266,50,2160,145,217,2,73,815,43,601,817,939,8,5,0,0,371,78,117,103,0,8,3371,872,204,218,1555,0,20,620,369,45,0,322,23,918,594,25,47,84,0,174,10,56,757,52,87,498,79,174,1971,847,111,0,84,2225,187,1,684,3,7630,2153,4014,1335,212,1522,579,1456,86,6554
White alone,"Not Hispanic, White",,DPVI0100009,14352,5735,533,273,1095,196,501,656,1572,472,437,1549,391,311,816,31,7068,1049,1276,3397,741,192,161,252,0,0,43,64,0,0,8,41,0,0,91,0,70,4,36,0,11,13,0,55,0,0,0,142,2,5,12,19,14,0,16,45,20,27,0,0,24,2,59,0,57,0,43,42,36,27,60,22,59,19,24,7,8,69,0,0,194,49,4,4,160,4,27,0,7,0,80,4,2,29,11,83,6,3,10,8,102,65,1,5,0,89,0,0,8,142,2,37,44,5,0,21,5,217,0,0,313,76,0,29,71,4,12,38,8,41,0,14,0,1,7,0,0,10,73,0,33,44,7,11,29,0,0,0,15,5,18,0,0,5,7,48,2,10,6,21,15,0,61,4,1,0,0,1,11,32,0,3,0,0,7,4,0,5,41,0,47,0,11,22,23,0,0,121,31,55,1,138,58,6,56,39,50,16,41,71,29,0,58,15,19,46,0,3,3,5,55,0,82,0,3,36,13,155,0,89,1,57,0,31,176,0,17,0,4,54,0,13,0,94,3,38,43,18,75,3,0,0,35,34,267,84,22,0,39,5,45,216,115,8,115,2,13,31,0,2,0,5,10,2,0,43,3,1,12,0,0,3,0,2,0,32,117,8,0,41,0,35,11,0,7,7,0,80,7,209,161,170,44,141,7,54,22,161,14,263,8,129,24,191,14,54,80,16,327,77,125,0,10,0,0,216,14,42,336,0,1,198,37,494,39,163,0,4,374,20,71,0,193,54,36,551,10,3,10,0,51,1,139,41,26,3,198,163,8,338,184,29,0,88,112,51,137,232,13,632,75,342,186,338,903,51,143,234,227
,"Not Hispanic, Other",,,3170,1405,145,63,85,70,72,122,456,218,174,108,24,19,62,3,1657,456,137,641,301,74,5,43,4,0,0,4,0,0,0,18,0,0,27,1,15,0,1,0,22,0,0,7,0,0,0,10,0,0,0,4,1,0,0,0,0,3,0,0,7,1,5,0,8,0,4,34,1,23,2,9,4,13,10,0,0,3,0,0,8,62,0,11,32,0,10,0,12,0,2,6,0,7,8,24,0,1,1,0,4,26,0,0,0,12,0,0,0,38,0,3,7,0,0,6,0,58,0,0,73,25,0,14,5,0,0,2,0,11,0,2,0,0,3,0,0,0,12,0,11,19,7,0,4,0,0,0,3,0,20,0,0,0,0,13,0,0,0,1,0,0,10,0,1,2,0,0,4,17,0,0,0,0,0,47,0,1,5,0,16,0,11,23,4,0,0,16,0,10,2,24,5,1,1,3,3,4,29,12,8,0,4,0,2,3,0,5,0,3,35,0,1,0,0,9,0,38,1,16,6,23,0,8,117,0,0,0,0,40,0,0,0,31,0,3,2,4,4,0,0,0,4,4,15,2,0,0,6,0,1,23,9,0,5,0,0,3,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,7,2,0,7,0,0,1,0,0,0,0,5,0,84,94,17,15,18,8,18,8,18,8,219,0,47,0,26,2,21,16,3,119,5,14,0,1,0,0,95,2,11,30,0,0,87,8,49,21,46,0,1,55,2,13,0,12,10,15,49,3,0,1,0,8,1,19,11,46,0,90,28,2,38,38,4,0,9,27,11,2,47,0,251,13,192,55,21,72,26,38,12,79
