RACE,Short,Code,United States Virgin Islands,St. Croix Island,Anna's Hope Village subdistrict,Christiansted subdistrict,East End subdistrict,Frederiksted subdistrict,Northcentral subdistrict,Northwest subdistrict,Sion Farm subdistrict,Southcentral subdistrict,Southwest subdistrict,St. John Island,Central subdistrict,Coral Bay subdistrict,Cruz Bay subdistrict,East End subdistrict,St. Thomas Island,Charlotte Amalie subdistrict,East End subdistrict,Northside subdistrict,Southside subdistrict,Tutu subdistrict,Water Island subdistrict,West End subdistrict,Estate Adventure,Estate Allandale,Estate All for the Better,Estate Altona,Estate Anguilla,Estate Annaberg and Shannon Grove,Estate Annaly,Estate Annas Hope,Estate A Piece of Land,Estate Barren Spot 1,Estate Barren Spot 2,Estate Becks Grove,Estate Beeston Hill,Estate Bellevue,Estate Belvedere,Estate Bethlehem Middle Works,Estate Bethlehem Old Works,Estate Betsys Jewel,Estate Bettys Hope,Estate Blessing,Estate Bodkin,Estate Body Slob North,Estate Body Slob South,Estate Boetzberg,Estate Bonne Esperance 1,Estate Bonne Esperance 2,Estate Brooks Hill,Estate Bugby Hole,Estate Cain Carlton,Estate Caledonia,Estate Canaan,Estate Cane,Estate Cane Bay,Estate Cane Garden,Estate Cane Valley,Estate Carina,Estate Carlton 1 North,Estate Carlton 1 South,Estate Carlton 2,Estate Cassava Garden,Estate Castle Coakley,Estate Castle Nugent,Estate Catherines Hope,Estate Catherines Rest,Estate Clairmont,Estate Clifton Hill,Estate Coakley Bay,Estate Colquohoun,Estate Concordia East,Estate Concordia West,Estate Constitution Hill,Estate Contentment,Estate Corn Hill,Estate Cottage,Estate Cotton Garden,Estate Cotton Grove,Estate Cotton Valley,Estate Diamond East,Estate Diamond Keturah,Estate Diamond West,Estate East Street,Estate Elizas Retreat,Estate Enfield Green,Estate Envy,Estate Fangselet,Estate Fareham,Estate Fountain,Estate Frederikshaab,Estate Friedensthal,Estate Glynn,Estate Golden Grove,Estate Golden Rock,Estate Granard,Estate Grange,Estate Grange Stock,Estate Great Pond,Estate Green Cay,Estate Grove Place,Estate Gumbs Land,Estate Hams Bay,Estate Hams Bluff,Estate Hannahs Rest,Estate Hard Labor,Estate Hartman,Estate Hermitage,Estate Hermon Hill,Estate Hogensborg,Estate Hope and Carton Hill,Estate Hope East,Estate Hope West,Estate Jacks Bay,Estate Jerusalem and Figtree Hill,Estate Jolly Hill,Estate Judiths Fancy,Estate Kingshill,Estate Kramers Park,Estate La Grande Princess,Estate La Grange,Estate La Press Valley,Estate La Reine,Estate La Vallee,Estate Lebanon Hill,Estate Little Fountain,Estate Little La Grange,Estate Little Princess North,Estate Little Princess South,Estate Little Profit,Estate Longford,Estate Long Point,Estate Lower Love,Estate Lowry Hill,Estate Madam Carty,Estate Mannings Bay,Estate Marienhoj,Estate Marys Fancy,Estate Mon Bijou North,Estate Mon Bijou South,Estate Montpellier East,Estate Montpellier West,Estate Morning Star North,Estate Morning Star South,Estate Mountain,Estate Mount Eagle,Estate Mount Fancy,Estate Mount Pleasant East 1,Estate Mount Pleasant East 2,Estate Mount Pleasant West,Estate Mount Retreat,Estate Mount Stewart,Estate Mount Victory,Estate Mount Washington and Washington Hill,Estate Mount Welcome,Estate Nicholas,Estate North Grapetree Bay,Estate North Hall,Estate Northside,Estate North Slob,Estate North Star,Estate Orange Grove East,Estate Orange Grove West,Estate Oxford,Estate Paradise,Estate Parasol,Estate Pearl,Estate Peters Farm,Estate Peters Rest,Estate Petronella,Estate Pleasant Valley East,Estate Pleasant Valley West,Estate Plessen 1,Estate Plessen 2,Estate Profit,Estate Prospect Hill,Estate Prosperity East,Estate Prosperity West,Estate Punch,Estate Rattan,Estate Recovery Hill,Estate Retreat,Estate Richmond,Estate River,Estate Roberts Hill,Estate Rose Hill,Estate Ruby,Estate Rust Up Twist,Estate St. George,Estate St. Georges Hill,Estate St. John,Estate St. Peters,Estate Sallys Fancy,Estate Salt River,Estate Seven Hills,Estate Shoys,Estate Sight,Estate Sion Farm,Estate Sion Hill,Estate Solitude East,Estate Solitude West,Estate Southgate,Estate South Grapetree Bay,Estate South Slob,Estate Sprat Hall,Estate Springfield,Estate Spring Garden,Estate Spring Gut,Estate Stony Ground,Estate Strawberry Hill,Estate Sweet Bottom,Estate Teague Bay,Estate The Springs,Estate Thomas,Estate Tipperary,Estate Turner Hole,Estate Two Brothers,Estate Two Friends,Estate Union and Mount Washington,Estate Upper Bethlehem,Estate Upper Love,Estate Waldberggaard,Estate Wheel of Fortune,Estate Whim,Estate White Lady,Estate Whites Bay 1,Estate Whites Bay 2,Estate William,Estate Williams Delight,Estate Wills Bay,Estate Windsor,Estate Wood Cottage,Estate Work and Rest,Estate Yellow Cliff,Estate Adrian,Estate Annaberg,Estate Bellevue,Estate Bethany,Estate Beverhoutberg and Esperance,Estate Bordeaux,Estate Browns Bay,Estate Calabash Boom,Estate Caneel Bay,Estate Carolina,Estate Chocolate Hole and Great Cruz Bay,Estate Concordia A,Estate Concordia B,Estate Contant,Estate Denis Bay,Estate Emmaus,Estate Enighed,Estate Fish Bay,Estate Fortberg,Estate Glucksberg and Grunwald,Estate Great Cinnamon Bay,Estate Hammer Farm,Estate Hansen Bay,Estate Haulover,Estate Hawksnest,Estate Hermitage,Estate Hope,Estate Johns Folly,Estate Lameshur,Estate Leinster Bay,Estate Little Plantation,Estate Lovango Cay,Estate Maho Bay,Estate Mandal,Estate Molendal and Little Reef Bay,Estate Mount Pleasant and Retreat,Estate New Renobath,Estate Number 1 of Susannaberg,Estate Number 1 of Trunk Bay,Estate Parcel of Concordia,Estate Parcel of Gift and Regenback,Estate Pastory,Estate Peter Bay,Estate Reef Bay,Estate Rendezvous and Ditlef,Estate Rustenberg and Adventure,Estate St. Quaco and Zimmerman,Estate San Soucci,Estate Sieben,Estate Susannaberg,Estate Zootenvaal,Estate Adelphi,Estate Agnes Fancy,Estate Annas Fancy,Estate Annas Retreat,Estate Bakkero,Estate Bolongo,Estate Bonne Esperance,Estate Bonne Resolution,Estate Bordeaux,Estate Bovoni,Estate Canaan and Sherpenjewel,Estate Caret Bay,Estate Charlotte Amalie,Estate Contant,Estate Crown and Hawk,Estate Demarara,Estate Donoe,Estate Dorothea,Estate Eastern Water Island,Estate Elizabeth,Estate Fortuna,Estate Fortuna Hill,Estate Frenchman Bay,Estate Frydendal,Estate Frydenhoj,Estate Great St. James Island,Estate Hassel Island,Estate Herleins Kob,Estate Hoffman,Estate Honduras,Estate Hope,Estate Hospital Ground,Estate Hull,Estate Inner Brass Island,Estate John Brewers Bay,Estate Kings Quarter,Estate Langmath Mariendal,Estate Lerkenlund,Estate Lilliendal and Marienhoj,Estate Lindbergh Bay,Estate Little St. James Island,Estate Little St. Thomas,Estate Lovenlund,Estate Lower John Dunko,Estate Mafolie,Estate Magens Bay,Estate Mandal,Estate Misgunst,Estate Nadir,Estate Nazareth,Estate Neltjeberg,Estate New Herrnhut,Estate Nisky,Estate Outer Brass Island,Estate Pearl,Estate Perseverance,Estate Peterborg,Estate Queens Quarter,Estate Raphune,Estate Ross,Estate St. Joseph and Rosendal,Estate St. Peter,Estate Santa Maria,Estate Smith Bay,Estate Solberg,Estate Sorgenfri,Estate Staabi,Estate Tabor and Harmony,Estate Thomas,Estate Upper John Dunko,Estate Western Water Island,Estate Wintberg,Estate Zufriedenheit,Charlotte Amalie town,Charlotte Amalie East CDP,Charlotte Amalie West CDP,Christiansted town,Coral Bay CDP,Cruz Bay CDP,Frederiksted town,Frederiksted Southeast CDP,Red Hook CDP,Tutu CDP
Total:,Total,DPVI008001,106405,50601,4041,2626,2453,3091,4977,4863,13003,8049,7498,4170,779,634,2706,51,51634,18481,8403,10049,5411,6867,182,2241,214,0,165,127,0,0,9,616,0,1,1371,5,224,19,58,90,1261,18,0,111,0,0,0,436,3,42,28,53,29,0,31,203,33,73,12,0,116,49,321,0,404,0,62,580,64,929,86,573,143,546,244,20,9,135,0,0,303,544,4,214,1397,9,471,0,183,0,114,90,164,753,472,1875,14,42,31,8,130,797,7,11,0,839,0,0,27,699,18,60,111,32,0,56,8,469,80,0,2024,632,0,391,217,22,31,69,13,272,0,16,0,3,50,0,0,24,444,3,955,171,53,19,228,35,0,0,68,11,1304,0,0,15,12,236,7,18,8,34,17,0,356,18,5,287,0,50,37,745,0,21,4,14,296,1035,0,10,99,0,442,0,388,820,58,0,0,460,49,1069,24,685,297,93,102,48,79,26,1374,569,93,0,108,22,29,63,0,10,17,271,1528,0,113,0,20,194,17,1990,3,407,166,1315,9,461,3315,118,235,0,5,2202,0,29,0,1327,3,234,47,184,166,28,2,0,137,91,394,172,22,0,283,5,79,841,147,11,359,3,13,51,0,2,0,6,45,2,0,70,4,1,39,0,0,4,0,2,0,66,431,11,0,70,0,88,16,0,37,7,3,270,373,7479,462,688,269,372,275,2604,65,442,218,3584,67,3040,173,479,18,167,981,69,1124,974,1157,9,17,0,0,850,124,193,500,0,10,4318,996,793,305,1997,0,27,1147,445,148,0,583,93,1085,1269,47,52,104,0,252,12,234,940,125,98,864,283,191,2531,1193,152,0,206,2631,272,147,1019,19,10354,2491,5644,2433,605,2866,859,2168,350,7356
Population of One Race:,One Race Only,DPVI008002,104202,49177,3936,2564,2389,3009,4890,4745,12516,7810,7318,4111,769,619,2675,48,50914,18213,8325,9834,5350,6812,180,2200,209,0,165,120,0,0,9,594,0,1,1346,5,211,19,54,90,1239,18,0,106,0,0,0,429,3,41,28,53,28,0,31,203,33,69,12,0,109,49,312,0,400,0,62,562,64,899,84,564,139,529,235,20,9,134,0,0,294,530,4,206,1383,9,462,0,178,0,112,88,159,744,450,1691,14,41,31,8,128,779,7,11,0,831,0,0,27,668,18,55,102,32,0,53,8,447,80,0,1964,604,0,387,216,22,31,69,13,266,0,16,0,3,48,0,0,24,437,3,934,157,47,19,225,35,0,0,68,11,1289,0,0,15,12,231,7,18,8,31,17,0,343,18,5,285,0,46,35,708,0,21,4,14,296,970,0,10,95,0,431,0,378,793,53,0,0,446,49,1057,24,672,295,93,101,46,78,23,1343,557,92,0,107,22,27,61,0,6,17,263,1492,0,112,0,20,186,17,1937,2,389,155,1300,8,455,3192,118,232,0,5,2160,0,29,0,1293,3,234,46,184,165,28,2,0,132,91,381,170,22,0,280,5,79,830,145,11,358,3,13,48,0,2,0,5,43,2,0,70,4,1,39,0,0,3,0,2,0,66,426,9,0,64,0,88,16,0,37,7,3,268,372,7426,457,672,266,362,268,2588,61,432,210,3510,67,2996,173,461,18,159,962,68,1103,967,1148,9,16,0,0,812,117,189,488,0,10,4257,985,771,302,1975,0,26,1134,443,148,0,581,89,1080,1248,47,52,104,0,246,12,220,926,123,98,842,270,190,2513,1180,148,0,200,2611,267,146,1003,19,10192,2476,5553,2378,588,2835,838,2111,344,7298
Black or African American,Black Only,DPVI008003,80908,37236,2913,1954,1048,2474,3784,3589,9366,6007,6101,2362,349,280,1716,17,41310,16287,6847,5619,4190,6487,8,1872,199,0,104,42,0,0,1,459,0,1,1149,4,111,12,17,54,1050,3,0,35,0,0,0,234,1,33,10,28,11,0,7,151,12,32,7,0,81,44,187,0,278,0,11,431,25,639,15,428,71,453,170,11,1,36,0,0,85,350,0,149,1080,5,374,0,134,0,16,79,131,615,401,1445,8,33,16,0,18,636,0,0,0,692,0,0,13,458,16,18,40,21,0,22,3,147,66,0,1361,466,0,342,134,18,18,25,4,191,0,0,0,2,38,0,0,5,305,0,778,96,32,8,165,33,0,0,40,5,1184,0,0,7,3,153,4,7,2,8,0,0,235,12,2,233,0,41,20,585,0,10,4,12,264,583,0,2,39,0,318,0,329,638,17,0,0,297,17,909,15,438,219,76,30,5,23,4,1096,431,44,0,37,6,3,13,0,2,14,249,1357,0,22,0,13,137,4,1579,2,255,127,1155,6,356,2604,105,184,0,1,1879,0,16,0,1006,0,188,2,156,86,25,2,0,80,51,105,80,0,0,216,0,32,560,16,3,226,1,0,17,0,0,0,0,32,0,0,23,1,0,27,0,0,0,0,0,0,34,293,0,0,19,0,53,4,0,30,0,3,170,359,7062,182,470,201,204,257,2441,34,257,186,2911,58,2770,149,235,2,81,853,50,647,876,997,9,5,0,0,476,88,134,107,0,8,3860,936,218,240,1702,0,22,667,416,49,0,354,25,1023,634,30,49,92,0,183,10,59,860,53,95,534,83,179,2122,933,117,0,108,2448,201,1,722,3,9084,2366,4845,1883,222,1775,712,1706,94,6925
White,White Only,DPVI008004,16646,7232,622,378,1182,276,616,779,1964,749,666,1600,394,325,850,31,7814,1336,1333,3636,829,231,169,280,1,0,47,75,0,0,8,60,0,0,120,0,90,7,37,1,74,15,0,66,0,0,0,157,2,8,14,21,15,0,16,46,21,37,5,0,25,2,78,0,93,0,43,53,36,62,62,30,64,36,32,8,8,90,0,0,199,81,4,4,191,4,40,0,10,0,84,5,8,37,15,108,6,3,11,8,103,77,7,5,0,109,0,0,8,161,2,37,55,10,0,24,5,236,0,0,376,89,0,32,73,4,13,41,8,49,0,14,0,1,8,0,0,10,84,0,51,44,9,11,35,0,0,0,18,6,35,0,0,8,8,51,3,11,6,22,15,0,75,6,1,8,0,5,11,57,0,3,0,0,9,55,0,6,41,0,58,0,17,74,25,0,0,134,31,68,5,163,64,7,61,40,52,17,112,92,39,0,65,16,19,47,0,3,3,8,76,0,88,0,3,40,13,207,0,111,4,83,0,41,284,1,26,0,4,132,0,13,0,128,3,38,43,19,76,3,0,0,43,34,271,86,22,0,42,5,46,228,122,8,123,2,13,31,0,2,0,5,11,2,0,44,3,1,12,0,0,3,0,2,0,32,118,8,0,42,0,35,11,0,7,7,0,89,7,256,180,181,45,144,10,99,23,166,16,349,9,164,24,205,14,58,91,16,340,79,138,0,11,0,0,239,21,45,358,0,2,276,43,514,42,202,0,4,413,23,86,0,210,55,37,571,14,3,10,0,53,1,150,60,26,3,228,167,9,348,203,30,0,88,116,54,144,236,16,798,79,459,280,351,939,75,199,239,271
Other races,One Race Other,DPVI008005,6648,4709,401,232,159,259,490,377,1186,1054,551,149,26,14,109,0,1790,590,145,579,331,94,3,48,9,0,14,3,0,0,0,75,0,0,77,1,10,0,0,35,115,0,0,5,0,0,0,38,0,0,4,4,2,0,8,6,0,0,0,0,3,3,47,0,29,0,8,78,3,198,7,106,4,40,33,1,0,8,0,0,10,99,0,53,112,0,48,0,34,0,12,4,20,92,34,138,0,5,4,0,7,66,0,6,0,30,0,0,6,49,0,0,7,1,0,7,0,64,14,0,227,49,0,13,9,0,0,3,1,26,0,2,0,0,2,0,0,9,48,3,105,17,6,0,25,2,0,0,10,0,70,0,0,0,1,27,0,0,0,1,2,0,33,0,2,44,0,0,4,66,0,8,0,2,23,332,0,2,15,0,55,0,32,81,11,0,0,15,1,80,4,71,12,10,10,1,3,2,135,34,9,0,5,0,5,1,0,1,0,6,59,0,2,0,4,9,0,151,0,23,24,62,2,58,304,12,22,0,0,149,0,0,0,159,0,8,1,9,3,0,0,0,9,6,5,4,0,0,22,0,1,42,7,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,1,0,3,0,0,1,0,0,0,0,9,6,108,95,21,20,14,1,48,4,9,8,250,0,62,0,21,2,20,18,2,116,12,13,0,0,0,0,97,8,10,23,0,0,121,6,39,20,71,0,0,54,4,13,0,17,9,20,43,3,0,2,0,10,1,11,6,44,0,80,20,2,43,44,1,0,4,47,12,1,45,0,310,31,249,215,15,121,51,206,11,102
Population of Two or More Races,More Than One Race,DPVI008006,2203,1424,105,62,64,82,87,118,487,239,180,59,10,15,31,3,720,268,78,215,61,55,2,41,5,0,0,7,0,0,0,22,0,0,25,0,13,0,4,0,22,0,0,5,0,0,0,7,0,1,0,0,1,0,0,0,0,4,0,0,7,0,9,0,4,0,0,18,0,30,2,9,4,17,9,0,0,1,0,0,9,14,0,8,14,0,9,0,5,0,2,2,5,9,22,184,0,1,0,0,2,18,0,0,0,8,0,0,0,31,0,5,9,0,0,3,0,22,0,0,60,28,0,4,1,0,0,0,0,6,0,0,0,0,2,0,0,0,7,0,21,14,6,0,3,0,0,0,0,0,15,0,0,0,0,5,0,0,0,3,0,0,13,0,0,2,0,4,2,37,0,0,0,0,0,65,0,0,4,0,11,0,10,27,5,0,0,14,0,12,0,13,2,0,1,2,1,3,31,12,1,0,1,0,2,2,0,4,0,8,36,0,1,0,0,8,0,53,1,18,11,15,1,6,123,0,3,0,0,42,0,0,0,34,0,0,1,0,1,0,0,0,5,0,13,2,0,0,3,0,0,11,2,0,1,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,6,0,0,0,0,0,0,0,2,1,53,5,16,3,10,7,16,4,10,8,74,0,44,0,18,0,8,19,1,21,7,9,0,1,0,0,38,7,4,12,0,0,61,11,22,3,22,0,1,13,2,0,0,2,4,5,21,0,0,0,0,6,0,14,14,2,0,22,13,1,18,13,4,0,6,20,5,1,16,0,162,15,91,55,17,31,21,57,6,58
Black or African American alone or in combination with one or more other races,Any Black,DPVI009001,82426,38167,2996,2000,1090,2530,3833,3659,9675,6171,6213,2404,357,290,1737,20,41855,16511,6895,5771,4226,6537,8,1907,204,0,104,48,0,0,1,471,0,1,1168,4,115,12,20,54,1061,3,0,38,0,0,0,237,1,34,10,28,12,0,7,151,12,35,7,0,87,44,191,0,281,0,11,446,25,657,16,437,75,468,174,11,1,37,0,0,90,360,0,156,1089,5,381,0,138,0,18,81,136,615,417,1556,8,34,16,0,19,651,0,0,0,698,0,0,13,482,16,23,46,21,0,24,3,160,66,0,1398,479,0,344,135,18,18,25,4,197,0,0,0,2,40,0,0,5,310,0,796,104,33,8,167,33,0,0,40,5,1196,0,0,7,3,158,4,7,2,10,0,0,238,12,2,233,0,45,22,612,0,10,4,12,264,619,0,2,40,0,328,0,337,662,22,0,0,306,17,912,15,448,221,76,30,6,24,4,1119,442,45,0,37,6,4,15,0,6,14,257,1383,0,23,0,13,140,4,1614,3,270,127,1167,7,358,2668,105,184,0,1,1912,0,16,0,1032,0,188,3,156,87,25,2,0,81,51,116,82,0,0,217,0,32,569,16,3,226,1,0,20,0,0,0,0,34,0,0,23,1,0,27,0,0,1,0,0,0,34,296,2,0,24,0,53,4,0,30,0,3,171,360,7109,182,475,204,213,263,2453,38,266,193,2979,58,2804,149,250,2,85,871,50,663,881,1004,9,5,0,0,501,95,136,117,0,8,3910,943,224,243,1721,0,23,677,418,49,0,355,29,1028,643,30,49,92,0,186,10,65,874,55,95,549,96,180,2136,944,118,0,108,2465,206,1,733,3,9211,2380,4928,1923,233,1796,730,1742,95,6978
White alone or in combination with one or more other races,Any White,DPVI009002,17802,7925,661,400,1231,310,658,839,2202,863,761,1641,402,336,870,33,8236,1468,1381,3798,864,250,171,304,4,0,47,81,0,0,8,62,0,0,125,0,100,7,41,1,91,15,0,70,0,0,0,161,2,9,14,21,15,0,16,46,21,41,5,0,27,2,83,0,95,0,43,61,36,79,64,33,64,42,33,8,8,91,0,0,205,89,4,10,194,4,47,0,11,0,84,6,8,43,25,186,6,3,11,8,105,87,7,5,0,114,0,0,8,176,2,42,60,10,0,24,5,250,0,0,404,107,0,32,73,4,13,41,8,51,0,14,0,1,8,0,0,10,85,0,57,57,14,11,35,0,0,0,18,6,37,0,0,8,8,51,3,11,6,23,15,0,86,6,1,8,0,9,13,59,0,3,0,0,9,105,0,6,43,0,61,0,20,79,28,0,0,146,31,73,5,174,66,7,62,42,53,20,131,98,39,0,66,16,21,49,0,3,3,15,99,0,89,0,3,46,13,229,1,126,4,89,0,45,349,1,29,0,4,146,0,13,0,137,3,38,44,19,77,3,0,0,44,34,283,88,22,0,42,5,46,236,124,8,124,2,13,33,0,2,0,6,13,2,0,44,3,1,12,0,0,3,0,2,0,32,122,10,0,44,0,35,11,0,7,7,0,89,7,271,184,189,47,150,12,107,24,172,21,397,9,181,24,220,14,64,102,17,354,81,143,0,12,0,0,259,27,49,370,0,2,307,53,527,43,214,0,4,424,23,86,0,212,59,40,583,14,3,10,0,56,1,163,66,28,3,243,180,9,360,213,34,0,92,124,54,145,249,16,873,82,513,295,362,959,89,219,242,290
Any other race alone or in combination with one or more other races,Any Other,DPVI009003,8563,6046,500,289,204,337,585,498,1648,1269,716,187,32,23,131,1,2330,794,213,716,386,139,5,77,13,0,14,5,0,0,0,105,0,0,103,1,22,0,4,35,131,0,0,10,0,0,0,46,0,1,4,4,3,0,8,6,0,1,0,0,9,3,56,0,32,0,8,93,3,223,8,116,8,54,48,1,0,8,0,0,18,110,0,56,128,0,56,0,39,0,14,5,25,104,57,321,0,6,4,0,8,83,0,6,0,35,0,0,6,77,0,2,14,1,0,11,0,85,14,0,292,77,0,19,10,0,0,3,1,32,0,2,0,0,5,0,0,9,56,3,128,25,12,0,29,2,0,0,10,0,86,0,0,0,1,32,0,0,0,4,2,0,45,0,2,48,0,0,4,113,0,8,0,2,23,378,0,2,20,0,66,0,42,107,16,0,0,22,1,98,4,80,12,10,11,2,3,5,157,41,10,0,6,0,7,1,0,5,0,7,86,0,2,0,4,16,0,202,0,32,46,74,3,64,428,12,25,0,0,189,0,0,0,194,0,8,1,9,3,0,0,0,17,6,8,4,0,0,27,0,1,48,9,0,10,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,18,3,0,8,0,0,1,0,0,0,0,12,7,156,101,42,21,20,7,60,7,14,12,295,0,104,0,30,2,28,32,3,129,20,21,0,1,0,0,130,10,13,25,0,0,164,14,66,22,86,0,1,59,6,13,0,18,9,23,65,3,0,2,0,16,1,22,16,45,0,94,24,3,53,49,4,0,12,65,17,2,54,0,443,45,306,271,27,143,62,267,19,150
